class,Particulars, 2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates, 2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates
A,OPENING BALANCE,,,,,,,,,,
B,REVENUE ACCOUNT,,,,,,,,,,
B1,Revenue Receipts,184052.75,265000.0,222981.15,219669.77,322390.31,314900.0,234025.91,257800.0,269306.0,276856.0
B2,Revenue Expenditure,131588.86,152900.01,151877.56,137008.166944,188710.94,206000.0,147345.81,173200.0,180326.0,196938.0
B3,Surplus/(Deficit) on Revenue Account,52463.89,112099.99,71103.59,82661.6030561,133679.37,108900.0,86680.1,84600.0,88980.0,79918.0
C,CAPITAL ACCOUNT,,,,,,,,,,
C1,Capital Receipts,61131.93,227100.0,163722.42,41988.23114,271189.45,253900.0,80924.16,381800.0,328774.0,363062.0
C2,Capital Expenditure,56332.95,227100.0,163722.42,102872.188134,271189.45,253900.0,135885.9,381800.0,328774.09,363061.7
C3,Surplus/(Deficit) on Capital Account,4798.98,0.0,0.0,-60883.956994,0.0,0.0,-54961.74,0.0,-0.0899999999674,0.299999999988
D,TOTAL SURPLUS/(DEFICIT) (B3+C3),57262.87,112099.99,71103.59,21777.6460621,133679.37,108900.0,31718.36,84600.0,88979.91,79918.3
E,CLOSING BALANCE (A+E),,,,,,,,,,